Nom_commune;Code_Commune;Nom_commune;Code_Canton;Nom_Canton;Code_Canton
ABILLY;37001;ABILLY;3709;DESCARTES;3709
AMBILLOU;37002;AMBILLOU;3705;CHATEAU LA VALLIERE;3705
AMBOISE;37003;AMBOISE;3701;AMBOISE;3701
anché;37004;anché;3710;L'ILE BOUCHARD;3710
ANTOGNY LE TILLAC;37005;ANTOGNY LE TILLAC;3720;STE MAURE DE TOURAINE;3720
ARTANNES / INDRE;37006;ARTANNES / INDRE;3714;MONTBAZON;3714
ASSAY;37007;ASSAY;3719;RICHELIEU;3719
ATHEE / CHER;37008;ATHEE / CHER;3703;BLERE;3703
AUTRECHE;37009;AUTRECHE;3706;CHATEAU RENAULT;3706
AUZOUER EN TOURAINE;37010;AUZOUER EN TOURAINE;3706;CHATEAU RENAULT;3706
AVOINE;37011;AVOINE;3707;CHINON;3707
AVON LES ROCHES;37012;AVON LES ROCHES;3710;L'ILE BOUCHARD;3710
AVRILLE LES PONCEAUX;37013;AVRILLE LES PONCEAUX;3711;LANGEAIS;3711
AZAY LE RIDEAU;37014;AZAY LE RIDEAU;3702;AZAY LE RIDEAU;3702
AZAY SUR CHER;37015;AZAY SUR CHER;3703;BLERE;3703
AZAY SUR INDRE;37016;AZAY SUR INDRE;3713;LOCHES;3713
ballan miré;37018;ballan miré;3731;ballan miré;3731
BARROU;37019;BARROU;3708;LE GRAND PRESSIGNY;3708
BEAULIEU LES LOCHES;37020;BEAULIEU LES LOCHES;3713;LOCHES;3713
BEAUMONT LA RONCE;37021;BEAUMONT LA RONCE;3716;NEUILLE PONT PIERRE;3716
BEAUMONT EN VERON;37022;BEAUMONT EN VERON;3707;CHINON;3707
BEAUMONT VILLAGE;37023;BEAUMONT VILLAGE;3715;MONTRESOR;3715
BENAIS;37024;BENAIS;3704;BOURGUEIL;3704
BERTHENAY;37025;BERTHENAY;3731;BALLAN MIRE;3731
BETZ LE CHATEAU;37026;BETZ LE CHATEAU;3708;LE GRAND PRESSIGNY;3708
bléré;37027;bléré;3703;bléré;3703
BOSSAY SUR CLAISE;37028;BOSSAY SUR CLAISE;3718;PREUILLY SUR CLAISE;3718
bossée;37029;bossée;3712;LIGUEIL;3712
