Nom de la commune;Maire;Politique ;Adresse Mairie;Téléphone;Télécopie;Mail;;;;;;;
Abilly;Patricia BRAULT;;place de la Mairie 37160 ABILLY;02.47.59.78.01;02.47.59.89.93;mairie.abilly@wanadoo.fr;;;;;;;
Ambillou;Michel CHEVET;;20 rue Principale 37340 AMBILLOU;02.47.52.44.31;02.47.52.49.46;mairie@ambillou.fr;;;;;;;
Amboise;Christian GUYON;PS;60 rue de la Concorde BP 247 - 37402 AMBOISE CEDEX;02.47.23.47.23;02.47.23.19.80;communication@ville-amboise.fr;;;;;;;
Anché;Michel FERRAND;DVD;rue de la Mairie 37500 ANCHÉ;02.47.93.44.21;02.47.93.44.21;mairie-anche@wanadoo.fr;;;;;;;
Antogny le Tillac;Serge MOREAU;DVG;24 route de Richelieu 37800 ANTOGNY LE TILLAC;02.47.65.01.12;02.47.65.09.24;mairie.antognyletillac@wanadoo.fr;;;;;;;
Artannes sur Indre;Bertrand POITOU;DVG;3 avenue de la Vallée du Lys 37260 ARTANNES/INDRE;02.47.26.80.19;02.47.65.76.25;accueil@mairie.artannes.fr;;;;;;;
Assay;Claudine GAUCHER;DVD;place de la mairie 37120 ASSAY;02.47.95.73.22;02.47.95.73.22;mairie.d.assay@wanadoo.fr;;;;;;;
Athée sur Cher;Jean-Jacques MARTIN;DVD;1 place de la Mairie 37270 ATHEE SUR CHER;02.47.50.68.09;02.47.50.20.67;mairie-athee@wanadoo.fr;;;;;;;
Autrèche;Francis BILLAULT;DVD;4 place Koenig  37110 AUTRECHE;02.47.56.22.03;02.47.29.64.03;mairie-autreche@orange.fr;;;;;;;
Auzouer en Touraine;Jean-Claude BAGLAN;DVG;1 place du général Leclerc 37110 AUZOUER EN TOURAINE;02.47.55.06.03;02.47.55.08.60;mairie-auzouer-touraine@wanadoo.fr;;;;;;;
Avoine;Didier GODOY;DVG;33 rue Nationale BP 113 - 37420 AVOINE ;02.47.98.11.11;02.47.98.11.12;catherinebonneau@ville-avoine.fr;;;;;;;
Avon Les Roches;Pascal BLANCHARD;DVD;15 rue de Feunet 37220 AVON LES ROCHES;02.47.58.54.07;02.47.95.24.87;avon.mairie@wanadoo.fr;;;;;;;
Avrillé Les Ponceaux;Jean-Jack BORDEAU;;Le Bourg 37340 AVRILLE LES PONCEAUX;02.47.24.64.03;02.47.24.29.04;mairie.avrillelesponceaux@wanadoo.fr;;;;;;;
Azay le Rideau;Arnaud HENRION;DVD;2 place de l'Europe 37190 AZAY LE RIDEAU;02.47.45.42.11;02.47.45.49.11;accueil.mairie@azaylerideau.fr;;;;;;;
Azay sur Cher;Janick ALARY;;17 Grande Rue - 37270 AZAY SUR CHER ;02.47.45.62.40;02.47.45.62.49;accueil@mairie-azaysurcher.fr;;;;;;;
Azay sur Indre;Jean-Jacques MEUNIER;DVG;Le bourg - 37310 AZAY SUR INDRE;02.47.92.58.12;02.47.92.29.29;mairie-dazay-sur-indre@wanadoo.fr;;;;;;;
Ballan Miré;Alexandre CHAS;LR;37510 BALLAN MIRE;02.47.80.10.00;02.47.80.10.01;contact@mairie-ballan-mire.fr;;;;;;;
Barrou;Gilles BEILLOUIN;;10 rue de la Mairie 37350 BARROU;02.47.94.92.12;02.47.94.97.52;mairie-barrou@wanadoo.fr;;;;;;;
Beaulieu les Loches;Sophie METADIER;UDI;6 place du Maréchal Leclerc 37600 BEAULIEU LES LOCHES;02.47.91.94.94;02.47.91.51.97;mairie.beaulieu37@wanadoo.fr;;;;;;;
Beaumont en Véron;Bernard CHATEAU;DVD;rue du 8 mai 1945 -  37420 BEAUMONT EN VERON;02.47.58.40.45;02.47.58.96.59;mairie.beaumont-veron@wanadoo.fr;;;;;;;
Beaumont la Ronce;Jean-Paul ROBERT;DVD;2 rue des près 37360 BEAUMONT LA RONCE;02.47.24.42.15;02.47.24.87.43;secretariat.BLR@wanadoo.fr;;;;;;;
Beaumont Village;Joêl BAISSON;DVD;8 Rue de la Mairie 37460 BEAUMONT VILLAGE;02.47.92.60.47;02.47.92.74.34;commune.beaumontvillage@wanadoo.fr;;;;;;;
Benais;Stéphanie RIOCREUX;PS;place de l'Eglise 37140 BENAIS;02.47.97.30.11;02.47.97.47.24;mairie.benais@wanadoo.fr;;;;;;;
Berthenay;Jacques LE TARNEC;;Le Bourg 37510 BERTHENAY;02.47.45.66.30;02.47.45.66.33;mairie.berthenay@wanadoo.fr;;;;;;;
Betz le Chateau;Roger BORRAT;;2 rue Gilles de Betz 37600 BETZ LE CHATEAU;02.47.59.65.06;02.47.92.33.79;mairie.betz37@wanadoo.fr;;;;;;;
Bléré;Daniel LABARONNE;;35 rue de Loches BP35 -  37150 BLERE ;02.47.30.81.81;02.47.30.81.88;mairie@blere-touraine.com;;;;;;;
Bossay sur Claise;Jean BOIS;;11 place de l'Eglise 37290 BOSSAY SUR CLAISE;02.47.94.52.06;02.47.94.45.48;mairiedebossaysurclaise.old@wanadoo.fr;;;;;;;
Bossée;Georges ORIO;;Place du 8 mai 1945 - 37240 BOSSEE;02.47.92.81.22;02.47.92.23.29;mairie.bossee@wanadoo.fr;;;;;;;
Boulay (Le);Jean-Pierre GASCHET;LR;Allée des tilleuls 37110 LE BOULAY;02.47.56.82.35;02.47.29.61.35;mairieleboulay37@wanadoo.fr;;;;;;;
Bourgueil;Laurence RIGUET;DVG;8 rue du Picard BP 29 - 37140 BOURGUEIL ;02.47.97.25.00;02.47.97.98.58;contact@bourgueil.fr;;;;;;;
Bournan;Charlie GILLET;;rue Principale 37240 BOURNAN;02.47.59.63.42;02.47.59.91.85;mairiedebournan@wanadoo.fr;;;;;;;
Boussay;Marguerite LIGAUD;;place de la Mairie 37290 BOUSSAY;02.47.94.52.61;02.47.94.41.12;mairie.boussay37@wanadoo.fr;;;;;;;
Braslou;Claudine LECLERC;DVD;18 rue Principale 37120 BRASLOU;02.47.95.65.08;02.47.95.66.95;mairie.braslou@wanadoo.fr;;;;;;;
Braye sous Faye;Serge GABORIAU;;Le Bourg 37120 BRAYE SOUS FAYE;02.47.58.11.80;02.47.58.29.18;mairie.brayesousfaye@wanadoo.fr;;;;;;;
Braye sur Maulne;Bernard de BAUDREUIL;DVD;rue du moulin 37330 BRAYE SUR MAULNE;02.47.24.04.52;02.47.24.92.37;mairie.braye-sur-maulne@wanadoo.fr;;;;;;;
Brêches;Gérard VIGNAS;;37330 BRECHES;02.47.24.16.30;02.47.24.16.85;mairie.breches@orange.fr;;;;;;;
Bréhémont;Daniel DURAND;DVG;1 place du 8 mai 1945 - 37130 BREHEMONT;02.47.96.84.71;02.47.96.57.84;mairie.brehemont@wanadoo.fr;;;;;;;
Bridoré;Christian BARITAUD;DVG;37600 BRIDORE;02.47.94.72.65;02.47.94.78.07;mairie.bridore@wanadoo.fr;;;;;;;
Brizay;Jean-Louis SCHLOSSER;DVD;37220 BRIZAY;02.47.58.50.85;02.47.58.50.85;mairie.brizay@wanadoo.fr;;;;;;;
Bueil en Touraine;Rémi TONDEREAU;DVD;37370 BUEIL EN TOURAINE;02.47.24.44.06;02.47.24.87.90;bueil.mairie@wanadoo.fr;;;;;;;
Candes Saint Martin;Stéphan PINAUD;;4 rue de la mairie 37500 CANDES ST MARTIN;02.47.95.90.61;02.47.95.85.36;mairie.candes.st.martin@orange.fr;;;;;;;
Cangey;Huguette DELAINE;;5 rue de Chateau Renault 37530 CANGEY;02.47.30.08.43;02.47.30.14.06;mairie.cangey@wanadoo.fr;;;;;;;
Celle Guenand (La);Alain MORÈVE;;1 place de l'église 37350 LA CELLE GUENAND;02.47.94.93.07;02.47.94.92.68;mairie.lacelle-guenand@wanadoo.fr;;;;;;;
Celle Saint Avant (la);Michel JOUZEAU;;3 place du 8 mai 1945 -  37160 LA CELLE ST AVANT;02.47.65.00.23;02.47.65.02.25;mairie.de.la.celle.stavant@wanadoo.fr;;;;;;;
Céré-la-Ronde;Jacques DUVIVIER;;5 rue Rabelais 37460 CERE LA RONDE;02.47.94.23.61;02.47.94.23.98;mairiecerelaronde@wanadoo.fr;;;;;;;
Cérelles;Guy POULLE;DVD;37 rue du Maréchal Reille 37390 CERELLES;02.47.55.10.89;02.47.55.23.40;secretariat-crl@wanadoo.fr;;;;;;;
Chambon;Dominique MAURICE;;3 place du 11 Novembre 37290 CHAMBON;02.47.94.53.69;02.47.91.07.57;mairie.de.chambon@wanadoo.fr;;;;;;;
Chambourg sur  Indre;Laurent COURAUD;DVG;rue Marcel Viraud 37310 CHAMBOURG SUR INDRE;02.47.92.50.10;02.47.92.50.05;mairie.chambourg37@wanadoo.fr;;;;;;;
Chambray lès Tours;Christian GATARD;PS;6 rue de la Mairie  37170 CHAMBRAY LES TOURS ;02.47.48.45.67;02.47.48.45.68;mairie@ville-chambray-les-tours.fr;;;;;;;
Champigny sur Veude;Alain GASPARD;DVG;2 place de la Mairie 37120 CHAMPIGNY SUR VEUDE;02.47.95.73.48;02.47.95.75.46;mairie.champignysurveude@wanadoo.fr;;;;;;;
Chancay;François LALOT;;15 rue de la Mairie BP2 - 37210 CHANCAY ;02.47.52.93.17;02.47.52.25.83;mairie.chancay@wanadoo.fr;;;;;;;
Chanceaux près Loches;Jean-Louis DUMORTIER;DVD;allée Valérie Schneider 37600 CHANCEAUX PRES LOCHES;02.47.59.08.25;02.47.59.08.25;mairiechanceaux37@wanadoo.fr;;;;;;;
Chanceaux sur Choisille;Patrick DELETANG;LR;19 rue de la Mairie 37390 CHANCEAUX SUR CHOISILLE;02.47.55.19.55;02.47.55.23.33;mairie.chanceaux@wanadoo.fr;;;;;;;
Channay sur Lathan;Isabelle MELO;;1 rue du Maine 37330 CHANNAY SUR LATHAN;02.47.24.63.07;02.47.24.27.94;mairie.channay@bbox.fr;;;;;;;
Chapelle aux Naux (La);Philippe MASSARD;DVD;le bourg 37130 LA CHAPELLE AUX NAUX;02.47.96.80.36;02.47.96.45.31;mairie.la.chapelle.aux.naux@wanadoo.fr;;;;;;;
Chapelle Blanche St Martin (La);Martine TARTARIN;;place Jasnin 37240 LA CHAPELLE BLANCHE ST MARTIN;02.47.59.62.13;02.47.92.09.86;mairie37057@wanadoo.fr;;;;;;;
Chapelle sur Loire (La);Danielle THIRY;;1 place Albert Ruelle 37140 LA CHAPELLE SUR LOIRE;02.47.97.33.91;02.47.97.43.09;mairie.chapelle.sur.loire@wanadoo.fr;;;;;;;
Charentilly;Patrick LEHAGRE;DVD;37390 CHARENTILLY;02.47.56.65.46;02.47.56.53.56;mairie@charentilly.com;;;;;;;
Chargé;Pascal DUPRÉ;;2 bis Rue du Général de Gaulle 37530 CHARGE;02.47.57.04.01;02.47.57.41.52;mairiedecharge@wanadoo.fr;;;;;;;
Charnizay;Serge GERVAIS;;2 place du 8 mai 1945 - 37290 CHARNIZAY;02.47.94.53.02;02.47.94.45.16;charnizaymairie@wanadoo.fr;;;;;;;
Château la Vallière;Patrice BERTHELEMOT;;6 rue Lezay  Marnesia 37330 CHATEAU LA VALLIERE;02.47.24.00.21;02.47.24.06.13;info@chateaulavalliere.com;;;;;;;
Château Renault;Michel COSNIER;PCF;le château BP 79 - 37110 CHATEAU RENAULT ;02.47.29.85.50;02.47.56.87.50;mairie@ville-chateau-renault.fr;;;;;;;
Chaumussay;Marie-Thérèse BRUNEAU;;1 place de la Mairie 37350 CHAUMUSSAY;02.47.94.54.02;02.47.94.54.06;chaumussaymairie@wanadoo.fr;;;;;;;
Chaveignes;Philippe DUBOIS;DVD;le Bourg 37120 CHAVEIGNES;02.47.58.16.74;02.47.95.31.16;mairie@chaveignes.fr;;;;;;;
Chédigny;Pierre LOUAULT;UDI;5 Place de la Mairie 37310 CHEDIGNY;02.47.92.51.43;02.47.92.22.97;mairie-chedigny@wanadoo.fr;;;;;;;
Cheillé;Jean-Serge HURTEVENT;DVG;rue de Chinon 37190 CHEILLE;02.47.45.42.25;02.47.45.92.15;mairie.cheille@wanadoo.fr;;;;;;;
Chemillé sur Dême;Eloi CANON;DVD;1 Place de l'Eglise 37370 CHEMILLE SUR DEME;02.47.52.33.30;02.47.52.34.71;mairie.chemillesurdeme@wanadoo.fr;;;;;;;
Chemillé sur Indrois;Henry FREMONT;DVD;37460 CHEMILLE SUR INDROIS;02.47.92.60.75;02.47.92.67.98;mairie-chemille-sur-indrois@wanadoo.fr;;;;;;;
Chenonceaux;Maryse COUILLARD;;1 place de la Mairie 37150 CHENONCEAUX;02.47.23.90.13;02.47.23.94.46;mairie.chenonceaux@wanadoo.fr;;;;;;;
Chézelles;Christian PIMBERT;DVD;place de la Mairie 37220 CHEZELLES;02.47.58.52.02;02.47.58.52.02;mairie.chezelles@gmail.com;;;;;;;
Chinon;Jean-Luc DUPONT;DVD;Place du Général de Gaulle BP 10147 - 37501 CHINON  CEDEX;02.47.93.53.00;02.47.98.47.92;ville.de.chinon@wanadoo.fr;;;;;;;
Chisseaux;Franck AUGIAS;;2 rue Nationale 37150 CHISSEAUX;02.47.23.90.75;02.47.23.95.70;mairie.de.chisseaux@wanadoo.fr;;;;;;;
