Code_Canton;Code_Commune;Nom_Canton;Nom_commune;Politique ;;Maire;Téléphone;Adresse Mairie;Nom de la commune;Télécopie;Mail
3709;37001;DESCARTES;ABILLY;;;Patricia BRAULT;02.47.59.78.01;place de la Mairie 37160 ABILLY;Abilly;02.47.59.89.93;mairie.abilly@wanadoo.fr
3705;37002;CHATEAU LA VALLIERE;AMBILLOU;;;Michel CHEVET;02.47.52.44.31;20 rue Principale 37340 AMBILLOU;Ambillou;02.47.52.49.46;mairie@ambillou.fr
3701;37003;AMBOISE;AMBOISE;PS;;Christian GUYON;02.47.23.47.23;60 rue de la Concorde BP 247 - 37402 AMBOISE CEDEX;Amboise;02.47.23.19.80;communication@ville-amboise.fr
3710;37004;L'ILE BOUCHARD;anché;DVD;;Michel FERRAND;02.47.93.44.21;rue de la Mairie 37500 ANCHÉ;Anché;02.47.93.44.21;mairie-anche@wanadoo.fr
3720;37005;STE MAURE DE TOURAINE;ANTOGNY LE TILLAC;DVG;;Serge MOREAU;02.47.65.01.12;24 route de Richelieu 37800 ANTOGNY LE TILLAC;Antogny le Tillac;02.47.65.09.24;mairie.antognyletillac@wanadoo.fr
3714;37006;MONTBAZON;ARTANNES / INDRE;DVG;;Bertrand POITOU;02.47.26.80.19;3 avenue de la Vallée du Lys 37260 ARTANNES/INDRE;Artannes sur Indre;02.47.65.76.25;accueil@mairie.artannes.fr
3719;37007;RICHELIEU;ASSAY;DVD;;Claudine GAUCHER;02.47.95.73.22;place de la mairie 37120 ASSAY;Assay;02.47.95.73.22;mairie.d.assay@wanadoo.fr
3706;37010;CHATEAU RENAULT;AUZOUER EN TOURAINE;DVG;;Jean-Claude BAGLAN;02.47.55.06.03;1 place du général Leclerc 37110 AUZOUER EN TOURAINE;Auzouer en Touraine;02.47.55.08.60;mairie-auzouer-touraine@wanadoo.fr
3707;37011;CHINON;AVOINE;DVG;;Didier GODOY;02.47.98.11.11;33 rue Nationale BP 113 - 37420 AVOINE ;Avoine;02.47.98.11.12;catherinebonneau@ville-avoine.fr
3710;37012;L'ILE BOUCHARD;AVON LES ROCHES;DVD;;Pascal BLANCHARD;02.47.58.54.07;15 rue de Feunet 37220 AVON LES ROCHES;Avon Les Roches;02.47.95.24.87;avon.mairie@wanadoo.fr
3702;37014;AZAY LE RIDEAU;AZAY LE RIDEAU;DVD;;Arnaud HENRION;02.47.45.42.11;2 place de l'Europe 37190 AZAY LE RIDEAU;Azay le Rideau;02.47.45.49.11;accueil.mairie@azaylerideau.fr
3703;37015;BLERE;AZAY SUR CHER;;;Janick ALARY;02.47.45.62.40;17 Grande Rue - 37270 AZAY SUR CHER ;Azay sur Cher;02.47.45.62.49;accueil@mairie-azaysurcher.fr
3713;37016;LOCHES;AZAY SUR INDRE;DVG;;Jean-Jacques MEUNIER;02.47.92.58.12;Le bourg - 37310 AZAY SUR INDRE;Azay sur Indre;02.47.92.29.29;mairie-dazay-sur-indre@wanadoo.fr
3731;37018;ballan miré;ballan miré;LR;;Alexandre CHAS;02.47.80.10.00;37510 BALLAN MIRE;Ballan Miré;02.47.80.10.01;contact@mairie-ballan-mire.fr
3708;37019;LE GRAND PRESSIGNY;BARROU;;;Gilles BEILLOUIN;02.47.94.92.12;10 rue de la Mairie 37350 BARROU;Barrou;02.47.94.97.52;mairie-barrou@wanadoo.fr
3713;37020;LOCHES;BEAULIEU LES LOCHES;UDI;;Sophie METADIER;02.47.91.94.94;6 place du Maréchal Leclerc 37600 BEAULIEU LES LOCHES;Beaulieu les Loches;02.47.91.51.97;mairie.beaulieu37@wanadoo.fr
3716;37021;NEUILLE PONT PIERRE;BEAUMONT LA RONCE;DVD;;Jean-Paul ROBERT;02.47.24.42.15;2 rue des près 37360 BEAUMONT LA RONCE;Beaumont la Ronce;02.47.24.87.43;secretariat.BLR@wanadoo.fr
3715;37023;MONTRESOR;BEAUMONT VILLAGE;DVD;;Joêl BAISSON;02.47.92.60.47;8 Rue de la Mairie 37460 BEAUMONT VILLAGE;Beaumont Village;02.47.92.74.34;commune.beaumontvillage@wanadoo.fr
3704;37024;BOURGUEIL;BENAIS;PS;;Stéphanie RIOCREUX;02.47.97.30.11;place de l'Eglise 37140 BENAIS;Benais;02.47.97.47.24;mairie.benais@wanadoo.fr
3731;37025;BALLAN MIRE;BERTHENAY;;;Jacques LE TARNEC;02.47.45.66.30;Le Bourg 37510 BERTHENAY;Berthenay;02.47.45.66.33;mairie.berthenay@wanadoo.fr
3708;37026;LE GRAND PRESSIGNY;BETZ LE CHATEAU;;;Roger BORRAT;02.47.59.65.06;2 rue Gilles de Betz 37600 BETZ LE CHATEAU;Betz le Chateau;02.47.92.33.79;mairie.betz37@wanadoo.fr
3703;37027;bléré;bléré;;;Daniel LABARONNE;02.47.30.81.81;35 rue de Loches BP35 -  37150 BLERE ;Bléré;02.47.30.81.88;mairie@blere-touraine.com
3718;37028;PREUILLY SUR CLAISE;BOSSAY SUR CLAISE;;;Jean BOIS;02.47.94.52.06;11 place de l'Eglise 37290 BOSSAY SUR CLAISE;Bossay sur Claise;02.47.94.45.48;mairiedebossaysurclaise.old@wanadoo.fr
3712;37029;LIGUEIL;bossée;;;Georges ORIO;02.47.92.81.22;Place du 8 mai 1945 - 37240 BOSSEE;Bossée;02.47.92.23.29;mairie.bossee@wanadoo.fr
3706;37030;CHATEAU RENAULT;LE BOULAY;LR;;Jean-Pierre GASCHET;02.47.56.82.35;Allée des tilleuls 37110 LE BOULAY;Boulay (Le);02.47.29.61.35;mairieleboulay37@wanadoo.fr
3704;37031;BOURGUEIL;BOURGUEIL;DVG;;Laurence RIGUET;02.47.97.25.00;8 rue du Picard BP 29 - 37140 BOURGUEIL ;Bourgueil;02.47.97.98.58;contact@bourgueil.fr
3712;37032;LIGUEIL;BOURNAN;;;Charlie GILLET;02.47.59.63.42;rue Principale 37240 BOURNAN;Bournan;02.47.59.91.85;mairiedebournan@wanadoo.fr
3718;37033;PREUILLY SUR CLAISE;BOUSSAY;;;Marguerite LIGAUD;02.47.94.52.61;place de la Mairie 37290 BOUSSAY;Boussay;02.47.94.41.12;mairie.boussay37@wanadoo.fr
3719;37034;RICHELIEU;BRASLOU;DVD;;Claudine LECLERC;02.47.95.65.08;18 rue Principale 37120 BRASLOU;Braslou;02.47.95.66.95;mairie.braslou@wanadoo.fr
3719;37035;RICHELIEU;BRAYE SOUS FAYE;;;Serge GABORIAU;02.47.58.11.80;Le Bourg 37120 BRAYE SOUS FAYE;Braye sous Faye;02.47.58.29.18;mairie.brayesousfaye@wanadoo.fr
3705;37036;CHATEAU LA VALLIERE;BRAYE SUR MAULNE;DVD;;Bernard de BAUDREUIL;02.47.24.04.52;rue du moulin 37330 BRAYE SUR MAULNE;Braye sur Maulne;02.47.24.92.37;mairie.braye-sur-maulne@wanadoo.fr
3705;37037;CHATEAU LA VALLIERE;brèches;;;Gérard VIGNAS;02.47.24.16.30;37330 BRECHES;Brêches;02.47.24.16.85;mairie.breches@orange.fr
3702;37038;AZAY LE RIDEAU;bréhémont;DVG;;Daniel DURAND;02.47.96.84.71;1 place du 8 mai 1945 - 37130 BREHEMONT;Bréhémont;02.47.96.57.84;mairie.brehemont@wanadoo.fr
3713;37039;LOCHES;bridoré;DVG;;Christian BARITAUD;02.47.94.72.65;37600 BRIDORE;Bridoré;02.47.94.78.07;mairie.bridore@wanadoo.fr
3710;37040;L'ILE BOUCHARD;BRIZAY;DVD;;Jean-Louis SCHLOSSER;02.47.58.50.85;37220 BRIZAY;Brizay;02.47.58.50.85;mairie.brizay@wanadoo.fr
3717;37041;NEUVY LE ROI;BUEIL EN TOURAINE;DVD;;Rémi TONDEREAU;02.47.24.44.06;37370 BUEIL EN TOURAINE;Bueil en Touraine;02.47.24.87.90;bueil.mairie@wanadoo.fr
3707;37042;CHINON;CANDES SAINT MARTIN;;;Stéphan PINAUD;02.47.95.90.61;4 rue de la mairie 37500 CANDES ST MARTIN;Candes Saint Martin;02.47.95.85.36;mairie.candes.st.martin@orange.fr
3701;37043;AMBOISE;CANGEY;;;Huguette DELAINE;02.47.30.08.43;5 rue de Chateau Renault 37530 CANGEY;Cangey;02.47.30.14.06;mairie.cangey@wanadoo.fr
3708;37044;LE GRAND PRESSIGNY;LA CELLE GUENAND;;;Alain MORÈVE;02.47.94.93.07;1 place de l'église 37350 LA CELLE GUENAND;Celle Guenand (La);02.47.94.92.68;mairie.lacelle-guenand@wanadoo.fr
3709;37045;DESCARTES;LA CELLE SAINT AVANT;;;Michel JOUZEAU;02.47.65.00.23;3 place du 8 mai 1945 -  37160 LA CELLE ST AVANT;Celle Saint Avant (la);02.47.65.02.25;mairie.de.la.celle.stavant@wanadoo.fr
3703;37046;BLERE;céré la ronde;;;Jacques DUVIVIER;02.47.94.23.61;5 rue Rabelais 37460 CERE LA RONDE;Céré-la-Ronde;02.47.94.23.98;mairiecerelaronde@wanadoo.fr
3716;37047;NEUILLE PONT PIERRE;cérelles;DVD;;Guy POULLE;02.47.55.10.89;37 rue du Maréchal Reille 37390 CERELLES;Cérelles;02.47.55.23.40;secretariat-crl@wanadoo.fr
3718;37048;PREUILLY SUR CLAISE;CHAMBON;;;Dominique MAURICE;02.47.94.53.69;3 place du 11 Novembre 37290 CHAMBON;Chambon;02.47.91.07.57;mairie.de.chambon@wanadoo.fr
3719;37051;RICHELIEU;CHAMPIGNY SUR-VEUDE;DVG;;Alain GASPARD;02.47.95.73.48;2 place de la Mairie 37120 CHAMPIGNY SUR VEUDE;Champigny sur Veude;02.47.95.75.46;mairie.champignysurveude@wanadoo.fr
3713;37053;LOCHES;chanceaux près loches;DVD;;Jean-Louis DUMORTIER;02.47.59.08.25;allée Valérie Schneider 37600 CHANCEAUX PRES LOCHES;Chanceaux près Loches;02.47.59.08.25;mairiechanceaux37@wanadoo.fr
3724;37054;VOUVRAY;CHANCEAUX SUR CHOISILLE;LR;;Patrick DELETANG;02.47.55.19.55;19 rue de la Mairie 37390 CHANCEAUX SUR CHOISILLE;Chanceaux sur Choisille;02.47.55.23.33;mairie.chanceaux@wanadoo.fr
3705;37055;CHÂTEAU LA VALLIERE;CHANNAY SUR LATHAN;;;Isabelle MELO;02.47.24.63.07;1 rue du Maine 37330 CHANNAY SUR LATHAN;Channay sur Lathan;02.47.24.27.94;mairie.channay@bbox.fr
